stock,entry_date,exit_date,entry_price,exit_price,shares,capital,pnl_rs,pnl_pct,exit_reason,trail_activated,mansfield_rs_at_entry,vol_ratio_at_entry,weeks_held
RELIANCE,2017-10-23,2018-01-29,418.11,406.64,95,40000,-1089.28,-2.74,Structure Break,True,41.29,1.04,14
TATASTEEL,2017-10-23,2018-01-15,68.49,70.96,583,40000,1439.5,3.6,Trailing Stop,True,50.62,0.91,12
HDFCBANK,2017-11-20,2018-02-05,462.85,462.38,86,40000,-40.85,-0.1,Structure Break,True,20.84,0.58,11
MM,2017-12-18,2018-02-05,746.2,750.05,53,40000,204.05,0.52,Trailing Stop,True,0.4,3.1,7
TCS,2018-01-22,2018-03-12,1560.52,1412.85,25,40000,-3691.88,-9.46,Structure Break,False,1.88,1.67,7
RELIANCE,2018-02-12,2018-03-26,414.26,396.91,96,40000,-1666.22,-4.19,Structure Break,False,48.6,0.85,6
HDFCBANK,2018-03-26,2018-06-04,471.52,512.34,84,40000,3428.25,8.66,Trailing Stop,True,19.01,0.86,10
TCS,2018-04-02,2018-05-28,1475.15,1732.45,27,40000,6947.1,17.44,Trailing Stop,True,3.56,0.43,8
MM,2018-04-02,2018-05-14,771.95,836.0,51,40000,3266.55,8.3,Trailing Stop,True,4.98,1.22,6
RELIANCE,2018-04-02,2018-04-30,409.63,428.94,97,40000,1873.31,4.71,Trailing Stop,True,24.19,0.8,4
TATASTEEL,2018-04-09,2018-07-16,59.4,50.32,673,40000,-6114.2,-15.29,Structure Break,False,11.07,0.92,14
MM,2018-05-28,2018-09-10,901.6,951.9,44,40000,2213.2,5.58,Trailing Stop,True,15.86,2.9,15
RELIANCE,2018-06-04,2018-06-25,442.61,437.26,90,40000,-481.57,-1.21,Trailing Stop,True,30.7,1.1,3
TCS,2018-06-11,2018-07-23,1840.05,1943.75,21,40000,2177.7,5.64,Trailing Stop,True,26.6,1.29,6
HDFCBANK,2018-06-18,2018-07-30,520.84,530.41,76,40000,727.7,1.84,Trailing Stop,True,13.72,1.1,6
RELIANCE,2018-07-09,2018-08-27,495.06,558.31,80,40000,5059.47,12.77,Trailing Stop,True,33.26,1.94,7
TCS,2018-08-06,2018-10-01,1993.1,2102.65,20,40000,2191.0,5.5,Trailing Stop,True,38.81,0.5,8
RELIANCE,2018-09-24,2018-10-01,565.64,471.62,70,40000,-6581.53,-16.62,Structure Break,False,39.96,1.3,1
MM,2018-10-29,2018-12-03,783.6,721.1,51,40000,-3187.5,-7.98,Structure Break,False,13.93,1.13,5
HDFCBANK,2018-11-12,2019-02-25,501.08,520.84,79,40000,1561.24,3.94,Trailing Stop,True,8.14,1.17,15
RELIANCE,2018-11-12,2018-12-03,506.94,509.81,78,40000,224.47,0.57,Trailing Stop,True,17.17,0.75,3
TCS,2018-11-26,2019-02-18,1968.25,1925.65,20,40000,-852.0,-2.16,Trailing Stop,True,37.91,1.84,12
MM,2018-12-17,2019-01-21,781.15,683.5,51,40000,-4980.15,-12.5,Structure Break,False,4.33,1.1,5
RELIANCE,2019-01-14,2019-02-11,532.54,559.57,75,40000,2026.8,5.07,Trailing Stop,True,24.15,1.56,4
RELIANCE,2019-03-05,2019-05-06,569.75,562.58,70,40000,-502.03,-1.26,Structure Break,True,30.27,0.77,9
HDFCBANK,2019-03-11,2019-05-06,563.25,574.12,71,40000,772.12,1.93,Trailing Stop,True,9.99,2.46,8
TCS,2019-03-11,2019-04-30,2039.95,2132.0,19,40000,1748.95,4.51,Trailing Stop,True,21.78,0.99,7
HDFCBANK,2019-05-13,2019-07-08,590.52,598.48,67,40000,532.65,1.35,Structure Break,True,15.11,0.79,8
RELIANCE,2019-05-20,2019-06-17,601.12,575.33,66,40000,-1701.97,-4.29,Structure Break,False,25.63,1.5,4
TCS,2019-05-27,2019-07-01,2196.55,2163.1,18,40000,-602.1,-1.52,Structure Break,False,15.18,1.57,5
TCS,2019-07-29,2019-09-09,2205.3,2141.95,18,40000,-1140.3,-2.87,Structure Break,False,11.73,0.94,6
HDFCBANK,2019-08-05,2019-09-30,570.5,594.85,70,40000,1704.5,4.27,Trailing Stop,True,3.31,1.94,8
RELIANCE,2019-08-13,2019-12-23,574.65,693.52,69,40000,8201.69,20.68,Trailing Stop,True,15.47,1.93,19
HDFCBANK,2019-10-22,2019-12-02,618.85,623.02,64,40000,267.2,0.67,Structure Break,True,11.76,0.79,6
TCS,2019-10-29,2019-11-18,2200.9,2071.7,18,40000,-2325.6,-5.87,Structure Break,False,1.05,1.43,3
TCS,2019-12-02,2020-01-27,2123.6,2164.85,18,40000,742.5,1.94,Trailing Stop,True,0.86,1.12,8
HDFCBANK,2019-12-16,2020-01-27,648.35,599.35,61,40000,-2989.0,-7.56,Structure Break,False,7.99,1.25,6
RELIANCE,2020-01-13,2020-01-27,710.9,622.02,56,40000,-4976.91,-12.5,Structure Break,False,23.49,1.07,2
HDFCBANK,2020-02-03,2020-02-24,621.1,588.83,64,40000,-2065.6,-5.2,Structure Break,False,5.14,1.23,3
RELIANCE,2020-02-10,2020-02-24,668.9,597.43,59,40000,-4216.84,-10.68,Structure Break,False,6.25,0.83,2
RELIANCE,2020-04-07,2020-05-11,548.55,662.46,72,40000,8201.8,20.77,Trailing Stop,True,14.32,0.86,5
HDFCBANK,2020-04-07,2020-05-04,462.52,464.52,86,40000,172.0,0.43,Trailing Stop,True,2.2,1.2,4
TCS,2020-04-13,2020-05-04,1806.2,1893.4,22,40000,1918.4,4.83,Trailing Stop,True,13.19,1.25,3
TCS,2020-05-18,2020-07-20,2020.35,2157.4,19,40000,2603.95,6.78,Trailing Stop,True,22.79,0.77,9
