version,stock,total_trades,winners,losers,win_rate_pct,total_pnl_rs,avg_win_pct,avg_loss_pct,avg_weeks_held
v2,360ONE,10,4,6,40.0,1064.3,7.35,-4.44,6.1
v2,ABB,11,6,5,54.5,3812.86,8.29,-7.65,6.0
v2,ABCAPITAL,7,5,2,71.4,20943.93,13.59,-7.74,8.6
v2,ADANIENSOL,12,7,5,58.3,41699.85,24.73,-13.43,5.4
v2,ADANIENT,13,9,4,69.2,86466.92,26.1,-4.47,6.5
v2,ADANIGREEN,9,7,2,77.8,89525.34,36.15,-13.98,6.6
v2,ADANIPORTS,11,5,6,45.5,-6736.65,5.44,-7.41,5.9
v2,ADANIPOWER,13,7,6,53.8,36611.46,18.06,-5.78,4.9
v2,ALKEM,8,4,4,50.0,-2447.4,7.13,-8.8,5.5
v2,AMBER,9,6,3,66.7,19693.7,12.19,-7.27,5.1
v2,AMBUJACEM,7,3,4,42.9,11108.45,16.45,-5.36,7.3
v2,ANGELONE,9,4,5,44.4,-5916.08,17.46,-16.91,5.6
v2,APLAPOLLO,9,7,2,77.8,30909.07,12.88,-6.07,8.9
v2,APOLLOHOSP,16,11,5,68.8,28299.8,9.61,-6.09,7.5
v2,ASHOKLEY,11,4,7,36.4,-4746.38,12.97,-9.1,5.7
v2,ASIANPAINT,8,5,3,62.5,5681.65,4.91,-3.33,8.4
v2,ASTRAL,9,6,3,66.7,2298.1,5.54,-9.41,8.6
v2,AUBANK,10,4,6,40.0,-8325.3,9.35,-9.71,5.4
v2,AXISBANK,9,3,6,33.3,-14189.9,3.34,-7.68,7.1
v2,BAJAJFINSV,12,6,6,50.0,-1442.11,7.93,-8.63,6.1
v2,BAJAJHLDNG,7,3,4,42.9,-9845.4,4.26,-9.72,10.0
v2,BAJAJ_AUTO,3,3,0,100.0,20798.5,18.43,0.0,12.0
v2,BAJFINANCE,14,8,6,57.1,26633.31,12.43,-5.39,7.8
v2,BANDHANBNK,3,1,2,33.3,-3232.01,14.47,-11.34,3.7
v2,BANKBARODA,9,4,5,44.4,9028.5,14.74,-7.26,6.9
v2,BANKINDIA,5,4,1,80.0,9817.86,10.93,-19.19,6.4
v2,BDL,14,5,9,35.7,-6186.11,11.81,-8.39,4.3
v2,BEL,11,7,4,63.6,15286.18,9.32,-6.74,5.9
v2,BHARATFORG,11,8,3,72.7,15932.1,7.32,-6.06,4.7
v2,BHARTIARTL,9,5,4,55.6,6625.8,5.82,-3.09,8.3
v2,BHEL,11,6,5,54.5,16589.66,12.09,-6.19,4.7
v2,BIOCON,11,6,5,54.5,12679.7,9.52,-5.05,5.1
v2,BLUESTARCO,10,3,7,30.0,-22508.45,2.26,-9.07,4.1
v2,BOSCHLTD,8,4,4,50.0,5418.5,16.06,-8.68,7.4
v2,BPCL,11,5,6,45.5,-4702.77,7.53,-8.25,4.5
v2,BRITANNIA,7,5,2,71.4,12267.65,7.58,-3.46,10.9
v2,BSE,12,9,3,75.0,19075.36,8.74,-10.5,4.2
v2,CAMS,3,1,2,33.3,1877.76,24.73,-9.95,5.7
v2,CANBK,9,7,2,77.8,20123.58,8.82,-5.68,7.1
v2,CDSL,12,6,6,50.0,53476.03,29.24,-6.93,5.8
