version,stock,total_trades,winners,losers,win_rate_pct,total_pnl_rs,avg_win_pct,avg_loss_pct,avg_weeks_held
v3,UNOMINDA,33,17,16,51.5,37543.18,14.06,-9.03,6.6
v3,UPL,29,19,10,65.5,20181.01,7.29,-8.76,7.4
v3,VBL,30,23,7,76.7,52915.09,8.94,-10.44,8.8
v3,VEDL,36,18,18,50.0,35232.4,15.68,-10.79,5.9
v3,VMM,1,1,0,100.0,2718.71,6.8,0.0,3.0
v3,VOLTAS,35,20,15,57.1,19113.2,9.34,-9.22,6.6
v3,WAAREEENER,1,1,0,100.0,2616.0,7.06,0.0,11.0
v3,WIPRO,32,17,15,53.1,26991.1,8.56,-5.2,6.5
v3,YESBANK,27,15,12,55.6,-24049.52,10.54,-18.19,7.3
v3,ZYDUSLIFE,27,13,14,48.1,16237.15,10.85,-7.17,7.4
