date,open,high,low,close,volume
2016-10-03 09:15:00,358.0,394.0,355.02,378.78,12260970.0
2016-10-10 09:15:00,382.0,385.55,370.12,374.02,2493490.0
2016-10-17 09:15:00,375.4,391.68,363.14,382.72,5974515.0
2016-10-24 09:15:00,386.07,386.07,358.11,364.19,2703870.0
2016-11-01 09:15:00,367.14,370.0,330.3,340.68,2648685.0
2016-11-07 09:15:00,345.8,356.8,314.52,338.11,4972900.0
2016-11-15 09:15:00,333.2,335.61,270.2,285.23,10645730.0
2016-11-21 09:15:00,285.25,309.78,280.92,305.99,8326800.0
2016-11-28 09:15:00,308.0,323.36,303.0,305.7,5799320.0
2016-12-05 09:15:00,303.57,314.86,300.2,306.94,5497190.0
2016-12-12 09:15:00,306.78,310.52,298.22,301.49,4146825.0
2016-12-19 09:15:00,302.8,304.4,290.08,298.79,3645085.0
2016-12-26 09:15:00,298.0,310.93,288.8,309.29,4146500.0
2017-01-02 09:15:00,310.0,322.7,306.23,313.05,3146240.0
2017-01-09 09:15:00,313.06,333.0,310.59,324.05,4775190.0
2017-01-16 09:15:00,324.06,341.15,322.4,328.86,7680020.0
2017-01-23 09:15:00,328.75,352.0,325.67,341.38,4023295.0
2017-01-30 09:15:00,341.2,349.0,335.66,339.6,4184605.0
2017-02-06 09:15:00,341.2,356.72,341.09,350.41,4350775.0
2017-02-13 09:15:00,343.0,347.52,301.23,318.2,13942215.0
2017-02-20 09:15:00,318.4,323.71,309.4,310.44,3481405.0
2017-02-27 09:15:00,309.7,323.4,308.42,314.71,4353235.0
2017-03-06 09:15:00,314.94,320.78,311.13,313.0,3027890.0
2017-03-14 09:15:00,317.98,328.11,312.61,323.02,5787455.0
2017-03-20 09:15:00,324.02,329.28,312.0,318.23,4268850.0
2017-03-27 09:15:00,320.54,328.09,316.0,325.43,5378405.0
2017-04-03 09:15:00,326.38,336.59,326.0,327.42,4665945.0
2017-04-10 09:15:00,328.4,340.0,324.94,338.67,4868940.0
2017-04-17 09:15:00,341.27,344.88,326.8,339.93,4170210.0
2017-04-24 09:15:00,341.0,364.99,339.18,354.28,7150475.0
2017-05-02 09:15:00,356.18,359.96,347.94,351.45,2163370.0
2017-05-08 09:15:00,351.83,363.59,342.78,353.36,2468455.0
2017-05-15 09:15:00,353.4,371.8,346.4,347.73,4258680.0
2017-05-22 09:15:00,350.9,354.6,315.82,332.26,6239675.0
2017-05-29 09:15:00,332.62,340.52,318.0,328.74,2151755.0
2017-06-05 09:15:00,330.8,339.47,324.5,334.55,2180415.0
2017-06-12 09:15:00,333.0,336.0,321.48,326.35,2787315.0
2017-06-19 09:15:00,326.35,329.92,314.0,318.33,1946380.0
2017-06-27 09:15:00,318.99,319.4,300.62,308.13,2146975.0
2017-07-03 09:15:00,308.33,317.42,302.51,306.84,2727905.0
2017-07-10 09:15:00,306.5,315.26,304.32,310.21,2263025.0
2017-07-17 09:15:00,310.8,312.39,299.0,302.31,3950285.0
2017-07-24 09:15:00,302.6,314.8,299.14,308.12,4401330.0
2017-07-31 09:15:00,308.94,311.8,299.35,303.21,4345205.0
2017-08-07 09:15:00,303.0,317.58,283.05,295.96,12828855.0
2017-08-14 09:15:00,296.2,304.2,288.47,297.78,3398565.0
2017-08-21 09:15:00,296.22,300.41,289.26,290.27,2339065.0
2017-08-28 09:15:00,290.0,309.59,286.56,304.04,4398490.0
2017-09-04 09:15:00,304.04,315.29,297.96,308.9,3776265.0
2017-09-11 09:15:00,310.02,320.81,308.85,316.45,2985580.0
2017-09-18 09:15:00,317.0,328.7,306.2,307.43,2414745.0
2017-09-25 09:15:00,305.4,314.76,302.0,308.22,2489075.0
2017-10-03 09:15:00,309.2,317.8,305.52,315.57,2449395.0
2017-10-09 09:15:00,316.0,358.78,316.0,345.33,18564430.0
2017-10-16 09:15:00,345.4,352.51,327.9,330.79,3676070.0
2017-10-23 09:15:00,334.8,338.66,324.51,330.21,3773435.0
2017-10-30 09:15:00,330.0,353.38,326.82,341.99,4974350.0
2017-11-06 09:15:00,342.02,348.72,311.1,346.58,7887095.0
2017-11-13 09:15:00,344.0,360.0,338.62,354.61,6421760.0
2017-11-20 09:15:00,355.0,377.98,346.55,369.61,12792075.0
2017-11-27 09:15:00,369.22,381.98,364.3,366.04,6339195.0
2017-12-04 09:15:00,366.67,371.6,351.8,365.04,5534615.0
2017-12-11 09:15:00,368.0,378.36,356.17,374.81,6059325.0
2017-12-18 09:15:00,373.76,395.6,360.0,391.4,6542030.0
2017-12-26 09:15:00,390.94,399.91,387.62,396.24,3534645.0
2018-01-01 09:15:00,396.4,404.4,381.51,390.93,4109835.0
2018-01-08 09:15:00,391.04,405.34,385.6,401.63,5950340.0
2018-01-15 09:15:00,405.0,409.69,372.68,381.96,6217600.0
2018-01-22 09:15:00,381.0,393.33,365.58,367.93,3236935.0
2018-01-29 09:15:00,371.2,372.94,338.0,359.54,4794095.0
2018-02-05 09:15:00,353.2,377.91,328.15,375.01,6078050.0
2018-02-12 09:15:00,375.0,386.08,369.0,372.79,2690805.0
2018-02-19 09:15:00,372.01,386.69,367.62,384.4,3963460.0
2018-02-26 09:15:00,384.2,392.2,376.34,378.53,2703900.0
2018-03-05 09:15:00,378.96,380.91,355.0,370.67,3092850.0
2018-03-12 09:15:00,372.4,378.4,368.41,374.55,1956965.0
2018-03-19 09:15:00,374.0,392.0,370.31,383.42,4783115.0
2018-03-26 09:15:00,383.42,402.8,382.47,391.03,3700395.0
2018-04-02 09:15:00,394.94,413.0,392.0,408.42,4742245.0
2018-04-09 09:15:00,406.4,420.96,406.4,417.67998,4089485.0
2018-04-16 09:15:00,413.4,446.0,413.24,443.75,4758610.0
2018-04-23 09:15:00,445.0,479.99,430.81,476.11,5862185.0
2018-04-30 09:15:00,474.21,489.32002,454.2,463.04,3573690.0
2018-05-07 09:15:00,466.4,482.7,443.0,449.34,4189260.0
2018-05-14 09:15:00,449.34,457.4,366.63,384.88,13024635.0
2018-05-21 09:15:00,385.0,388.2,352.42,373.1,15307260.0
2018-05-28 09:15:00,375.0,392.98,371.84,373.91,9786410.0
2018-06-04 09:15:00,376.0,385.5,369.6,377.95,4872135.0
2018-06-11 09:15:00,378.24,388.33,365.08,380.56,4463775.0
2018-06-18 09:15:00,380.98,380.98,332.41,334.28,12661250.0
2018-06-25 09:15:00,332.43,341.4,322.45,339.32,19619975.0
2018-07-02 09:15:00,342.0,342.0,320.55,328.68,8229905.0
2018-07-09 09:15:00,328.9,355.5,327.6,330.09,11662525.0
